V5.2.01.0,commons,commons-logging,1.1.1,D:\ctp\V5.2.01.0\commons-logging-1.1.1.jar
V5.2.01.0,commons,commons-pool,1.5.4,D:\ctp\V5.2.01.0\commons-pool-1.5.4.jar
V5.2.01.0,ctp,ctp-engine,5.2.01.0,D:\ctp\V5.2.01.0\ctp-engine.jar
V5.2.01.0,dom4j,dom4j,1.6.1,D:\ctp\V5.2.01.0\dom4j-1.6.1.jar
V5.2.01.0,edtftpj,edtftpj,2.0.5,D:\ctp\V5.2.01.0\edtftpj.jar
V5.2.01.0,jackson,jackson-annotations,2.1.4,D:\ctp\V5.2.01.0\jackson-annotations-2.1.4.jar
V5.2.01.0,jackson,jackson-core,2.1.4,D:\ctp\V5.2.01.0\jackson-core-2.1.4.jar
V5.2.01.0,jackson,jackson-databind,2.1.4,D:\ctp\V5.2.01.0\jackson-databind-2.1.4.jar
V5.2.01.0,javassist,javassist,3.3,D:\ctp\V5.2.01.0\javassist-3.3.jar
V5.2.01.0,jaxen,jaxen,1.1.1,D:\ctp\V5.2.01.0\jaxen-1.1.1.jar
V5.2.01.0,jcommon,jcommon,1.0.16,D:\ctp\V5.2.01.0\jcommon-1.0.16.jar
V5.2.01.0,jdom,jdom,1.0,D:\ctp\V5.2.01.0\jdom-1.0.jar
V5.2.01.0,jetty,jetty-continuation,7.0.2,D:\ctp\V5.2.01.0\jetty-continuation-7.0.2.v20100331.jar
V5.2.01.0,jetty,jetty-http,7.0.2,D:\ctp\V5.2.01.0\jetty-http-7.0.2.v20100331.jar
V5.2.01.0,jetty,jetty-io,7.0.2,D:\ctp\V5.2.01.0\jetty-io-7.0.2.v20100331.jar
V5.2.01.0,jetty,jetty-security,7.0.2,D:\ctp\V5.2.01.0\jetty-security-7.0.2.v20100331.jar
V5.2.01.0,jetty,jetty-server,7.0.2,D:\ctp\V5.2.01.0\jetty-server-7.0.2.v20100331.jar
V5.2.01.0,jetty,jetty-servlet,7.0.2,D:\ctp\V5.2.01.0\jetty-servlet-7.0.2.v20100331.jar
V5.2.01.0,jetty,jetty-util,7.0.2,D:\ctp\V5.2.01.0\jetty-util-7.0.2.v20100331.jar
V5.2.01.0,jfreechart,jfreechart,1.0.13,D:\ctp\V5.2.01.0\jfreechart-1.0.13.jar
V5.2.01.0,rhino,js,1.7.2.v201005080400,D:\ctp\V5.2.01.0\js.jar
V5.2.01.0,jsch,jsch,0.1.44,D:\ctp\V5.2.01.0\jsch-0.1.44.jar
V5.2.01.0,json,json,20090211,D:\ctp\V5.2.01.0\json.jar
V5.2.01.0,jxl,jxl,2.6.6,D:\ctp\V5.2.01.0\jxl.jar
V5.2.01.0,jxl,jxls-core,1.0,D:\ctp\V5.2.01.0\jxls-core-1.0-RC-2-ctp.jar
V5.2.01.0,jxl,jxls-reader,1.0,D:\ctp\V5.2.01.0\jxls-reader-1.0-RC-2.jar
V5.2.01.0,log4j,log4j,1.2.15,D:\ctp\V5.2.01.0\log4j-1.2.15.jar
V5.2.01.0,mx4j,mx4j-tools,3.0.2,D:\ctp\V5.2.01.0\mx4j-tools-3.0.2.jar
V5.2.01.0,batis,mybatis,3.2.4,D:\ctp\V5.2.01.0\mybatis-3.2.4.jar
V5.2.01.0,ncso,NCSO,1.9,D:\ctp\V5.2.01.0\NCSO.jar
V5.2.01.0,netty,netty,3.2.4,D:\ctp\V5.2.01.0\netty-3.2.4.Final.jar
V5.2.01.0,opencsv,opencsv,2.1,D:\ctp\V5.2.01.0\opencsv-2.1.jar
V5.2.01.0,sdo,org.eclipse.emf.commonj.sdo,2.1.0.v200609210005,D:\ctp\V5.2.01.0\org.eclipse.emf.commonj.sdo.jar
V5.2.01.0,poi,poi,3.9,D:\ctp\V5.2.01.0\poi-3.9-20121203.jar
V5.2.01.0,poi,poi-ooxml,3.9,D:\ctp\V5.2.01.0\poi-ooxml-3.9-20121203.jar
